Camp Name,Camp Name,Park Name,Park Code,total Campsites,tent only sites,electrical hookups (for RV)
304,Jedediah Smith Campground,Redwood,redw,86,22,0
305,"Jeff Busby Campground, Milepost 193.1",Natchez Trace Parkway,natr,18,0,0
306,Jenny Lake Campground,Grand Teton,grte,61,51,0
307,Jones Bay Campground,Lake Roosevelt,laro,9,0,0
308,Jordan Junction Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,1,1,0
309,Julian Price Park Campground,Blue Ridge,blri,190,90,0
310,Jumbo Rocks Campground,Joshua Tree,jotr,124,0,0
311,Juniper Basin,Saguaro,sagu,0,0,0
312,Juniper Campground,Theodore Roosevelt,thro,50,9,0
313,Juniper Family Campground,Bandelier,band,52,5,0
314,Juniper Lake Campground,Lassen Volcanic,lavo,18,0,0
315,Kalaloch Campround,Olympic,olym,170,0,0
316,Kamloops Island Campground,Lake Roosevelt,laro,17,9,0
317,Katahdin Brook Lean-to,Katahdin Woods And Waters,kaww,1,0,0
318,Katherine Landing Campground (Lake Mohave),Lake Mead,lake,0,0,0
319,Katherine Landing RV Park (Lake Mohave),Lake Mead,lake,0,0,0
320,Kendesnii Campground,N/A,wrst,10,0,0
321,Kettle Falls Campground,Lake Roosevelt,laro,74,0,0
322,Kettle River Campground,Lake Roosevelt,laro,13,0,0
323,Killiansburg Cave Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,1,1,0
324,Kintla Lake,Glacier,glac,13,0,0
325,Kirby Cove Campground,Golden Gate,goga,6,5,0
326,Kulanaokuaiki,Hawaii Volcanoes,havo,9,9,0
327,Kyles Landing,Buffalo,buff,33,33,0
328,Kīpahulu Campground,Haleakala,hale,9,9,0
329,Lake Fork Campground,Curecanti,cure,90,4,0
330,Lake Mead RV Village (Lake Mead),Lake Mead,lake,115,0,115
331,Lake Richie Campground,Isle Royale,isro,6,4,0
332,Lake Richie Canoe Campground,Isle Royale,isro,3,3,0
333,Lake Whittlesey Campground,Isle Royale,isro,3,3,0
334,Lakeview Campground,North Cascades,noca,9,9,0
335,Lane Cove Campground,Isle Royale,isro,5,5,0
336,Las Vegas Bay Campground (Lake Mead),Lake Mead,lake,85,85,0
337,Lava Flow Campground,Craters Of The Moon,crmo,42,0,0
338,Lava Point Campground,Zion National Park,zion,6,6,0
339,Lees Ferry Campground,Glen Canyon,glca,54,0,0
340,Leopards Mill Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,1,1,0
341,Lewis Lake Campground,Yellowstone,yell,85,0,0
342,Lewis Mountain Campground,Shenandoah,shen,30,0,0
343,Licking Creek Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,0,0,0
344,Linville Falls Campground,Blue Ridge,blri,64,14,0
345,Little Beaver Lake Campground,Pictured Rocks,piro,8,0,0
346,Little Pool Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,0,0,0
347,Little Todd Campground,Isle Royale,isro,4,4,0
348,Lizard Creek Campground,Grand Teton,grte,60,0,0
349,Locust Grove Group Sites,Lake Roosevelt,laro,2,0,0
350,Lodgepole Campground,Sequoia,seki,214,76,0
351,Loft Mountain Campground,Shenandoah,shen,207,50,0
352,Logging Creek,Glacier,glac,7,0,0
353,Lone Rock Beach Primitive Camping Area,Glen Canyon,glca,5000,0,0
354,Long Pine Key Campground,Everglades,ever,108,108,0
355,Longleaf Campground,Congaree,cong,14,14,0
356,Longs Peak Campground,Rocky Mountain,romo,26,26,0
357,Look Rock Campground,Great Smoky Mountains,grsm,68,5,10
358,"Lost Creek Campground, elevation 6,000 feet (1,829 meters)",Crater Lake,crla,16,16,0
359,Lost Creek Group Campground,Lassen Volcanic,lavo,8,0,0
360,Lower Goodell Creek Group Campground,North Cascades,noca,2,0,0
361,Lower Lehman Campground,Great Basin,grba,11,0,0
362,Lower Pines Campground,Yosemite,yose,73,0,0
363,Lower Scorpion Campground,Gila Cliff Dwellings,gicl,7,7,0
364,Lower St. Croix District,Saint Croix,sacn,19,19,0
365,Lowney Creek Group Backpacking Site,Pictured Rocks,piro,1,1,0
366,Lowney Creek Individual Backpacking Sites,Pictured Rocks,piro,4,4,0
367,Lunksoos Campsites,Katahdin Woods And Waters,kaww,7,7,0
368,Lunksoos Mountain Lean-To,Katahdin Woods And Waters,kaww,1,0,0
369,Madison Campground,Yellowstone,yell,276,117,0
370,Mahogany Flat Campground (Primitive),Death Valley,deva,9,0,0
371,Malaquite Campground,Padre Island,pais,48,6,0
372,Malone Bay Campground,Isle Royale,isro,7,0,0
373,Mammoth Campground,Yellowstone,yell,85,0,0
374,Mammoth Cave Campground,Mammoth Cave,maca,111,0,0
375,Manning Camp,Saguaro,sagu,6,6,0
376,Many Glacier,Glacier,glac,109,8,0
377,Manzanita Lake Campground,Lassen Volcanic,lavo,179,30,0
378,Maple Springs Group Campground,Mammoth Cave,maca,7,0,7
379,Marble Quarry Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,1,1,0
380,Marcus Island Campground,Lake Roosevelt,laro,25,0,0
381,Marcus Wilderness Campground,Guadalupe Mountains,gumo,5,5,0
382,Marsden Tract Group Campground,Chesapeake And Ohio Canal,choh,6,6,0
383,Masse Homestead Group Backpacking Site,Pictured Rocks,piro,1,1,0
384,Masse Homestead Individual Backpacking Sites,Pictured Rocks,piro,3,3,0
385,Mather Campground - South Rim,Grand Canyon,grca,327,55,0
386,Mathews Arm Campground,Shenandoah,shen,165,0,0
387,Maumee South,Buffalo,buff,0,0,0
388,Mazama Campground,Crater Lake,crla,214,121,18
389,McBride Canyon and Mullinaw Creek Campgrounds,Lake Meredith,lamr,40,0,0
390,McCargoe Cove Campground,Isle Royale,isro,12,3,0
391,McKittrick Ridge Wilderness Campground,Guadalupe Mountains,gumo,8,8,0
392,McMillan Woods Youth Campground,Gettysburg,gett,10,10,0
393,Mccoys Ferry Campground,Chesapeake And Ohio Canal,choh,13,0,0
394,Meadow Creek Campground,New River Gorge,neri,26,26,0
395,Medano Pass Primitive Road Campsites,Great Sand Dunes,grsa,21,21,0
396,Medicine Creek Campground,Bighorn Canyon,bica,5,5,0
397,"Meriwether Lewis Campground, Milepost 385.9",Natchez Trace Parkway,natr,31,0,0
398,Merritt Lane Campground,Isle Royale,isro,2,1,0
399,Mescalero Wilderness Campground,Guadalupe Mountains,gumo,8,8,0
400,Mesquite Spring Campground,Death Valley,deva,40,0,0
401,Mid-Hills Campground,Mojave,moja,26,26,0
402,Middle St. Croix,Saint Croix,sacn,57,57,0
403,Midway Campground,Big Cypress,bicy,36,10,26
404,Mill Creek Campground,Redwood,redw,145,22,0
405,Mitchell's Landing,Big Cypress,bicy,11,0,0
406,Mohican Outdoor Center,Delaware Water Gap,dewa,16,15,0
407,Monument Lake,Big Cypress,bicy,36,10,0
408,Mora Campground,Olympic,olym,94,0,0
409,Moraine Campground,Sequoia,seki,121,0,0
410,Moraine Park Campground,Rocky Mountain,romo,244,101,0
411,Morefield Campground,Mesa Verde,meve,267,85,15
412,Moskey Basin Campground,Isle Royale,isro,10,2,0
413,Mosquito River Group Backpacking Site,Pictured Rocks,piro,1,1,0
414,Mosquito River Individual Backpacking Sites,Pictured Rocks,piro,5,5,0
415,Mount Pisgah,Blue Ridge,blri,125,64,0
416,NPS Priest Rock Public Use Cabin,Lake Clark,lacl,0,0,0
417,Namekagon District,Saint Croix,sacn,67,67,0
418,Natural Bridges Campground,Natural Bridges,nabr,13,0,0
419,Naval Live Oaks Youth Group Camping,Gulf Islands,guis,1,0,0
420,Newhalem Creek Campground,North Cascades,noca,107,13,0
421,Norris Campground,Yellowstone,yell,112,0,0
422,North Campground,Bryce Canyon,brca,100,46,0
423,North Desor Campground,Isle Royale,isro,3,3,0
424,North Fork Campground,Olympic,olym,9,0,0
425,North Gorge Campground,Lake Roosevelt,laro,12,6,0
426,North Mountain Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,1,1,0
427,North Pines Campground,Yosemite,yose,80,0,0
428,North Rim Campground,Black Canyon Of The Gunnison,blca,13,0,0
429,North Rim Campground,Grand Canyon,grca,87,12,0
430,Nāmakanipaio,Hawaii Volcanoes,havo,16,16,0
431,Oak Ridge Campground,Prince William Forest Park,prwi,100,33,0
